census_year,location,trading_name,business_address,industry_description,longitude,latitude
2016,East Melbourne,Epworth Pathology,"Suite 111, Level 1, 320 Victoria Parade EAST MELBOURNE 3002",Pathology and Diagnostic Imaging Services,,
2022,East Melbourne,The Institute of Patent and Trade Mark Attorneys of Australia,Part Level 15 1 Nicholson Street EAST MELBOURNE VIC 3002,Legal Services,144.9735222,-37.80899048
2016,East Melbourne,"Mr N A Collier, Mr B Fleming, R Wilson, Mr A R Hyett & Mr C Murphy","Suite 112, Level 1, 320 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,,
2022,East Melbourne,Cafe Ecco,Part Gnd & Mezz 8 Nicholson Street EAST MELBOURNE VIC 3002,Cafes and Restaurants,144.9736193,-37.8084963
2016,East Melbourne,"Dr M Rasmussen, Mr R Rome, Dr K Reid & Dr N Israelsohn","Suite 115, Level 1, 320 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,,
2022,East Melbourne,State Control Centre,Level 4 8 Nicholson Street EAST MELBOURNE VIC 3002,State Government Administration,144.9736193,-37.8084963
2016,East Melbourne,Hudsons Coffee Freemasons,"Part Ground , 320 Victoria Parade EAST MELBOURNE 3002",Cafes and Restaurants,,
2022,East Melbourne,Aspiron Consulting Group Pty Ltd,"Suite 516, Level 5 100 Victoria Parade EAST MELBOURNE VIC 3002",Accounting Services,144.9748791,-37.80863332
2016,East Melbourne,Epworth Parking,"Carpark , 320 Victoria Parade EAST MELBOURNE 3002",Parking Services,,
2022,East Melbourne,Melbourne Ear Specialists,"Suite 221-222, Level 2 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,"Dr R Ryan, Dr S Hargreaves, Dr S Lee, Dr J Whitehead & Dr A Woodward",320 Victoria Parade EAST MELBOURNE 3002,Specialist Medical Services,,
2022,East Melbourne,Victoria Parade Surgery Centre,"Lot S3, Level 1 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Mr Leonard Jack Kliman,"Suite 101, Level 1, 320 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,,
2022,East Melbourne,East Side Story Bar + Cafe,"Suite 1, Ground 100 Victoria Parade EAST MELBOURNE VIC 3002",Cafes and Restaurants,144.9748791,-37.80863332
2016,East Melbourne,Epworth Freemasons Hospital,320 Victoria Parade EAST MELBOURNE 3002,Hospitals (except Psychiatric Hospitals),,
2022,East Melbourne,CITY CPAP PTY LTD,"Suite 512, Level 5 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,"Dr V Woodward, Dr H Tran, Dr L Begg, Dr K Williamson & Dr V Woodward","Suite 209, Level 2, 320 Victoria Parade EAST MELBOURNE 3002",Specialist Medical Services,,
2022,East Melbourne,Ford Health Group Pty Ltd,"Suite 513, Level 5 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Mr David Chong,"Suite 506, Level 5, 372-376 Albert Street EAST MELBOURNE 3002",Other Allied Health Services,144.9787143,-37.80964055
2022,East Melbourne,Melbourne Radoilogy Clinic,"Suite 3-6, Ground 100 Victoria Parade EAST MELBOURNE VIC 3002",Pathology and Diagnostic Imaging Services,144.9748791,-37.80863332
2016,East Melbourne,Dentists in East Melbourne,"Suite 304, Level 3, 372-376 Albert Street EAST MELBOURNE 3002",Dental Services,144.9787143,-37.80964055
2022,East Melbourne,Retina Specialists Victoria,"Suite 405, Level 4 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Medilaw,"Suite 302, Level 3, 372-376 Albert Street EAST MELBOURNE 3002",Other Allied Health Services,144.9787143,-37.80964055
2022,East Melbourne,Victoria Parade Neurosurgery,"Suite 2, Ground 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Degani @ East Melbourne,"Shop 1, 372-376 Albert Street EAST MELBOURNE 3002",Cafes and Restaurants,144.9787143,-37.80964055
2022,East Melbourne,Dr Geoff Markov,"Suite 502, Level 5 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Tyre Stewardship,"Suite 405, Level 4, 372-376 Albert Street EAST MELBOURNE 3002",Motor Vehicle Dismantling and Used Part Wholesaling,144.9787143,-37.80964055
2022,East Melbourne,Central Melbourne Orthopaedics,"Suite 417-418, Level 4 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Peter MacCallum Cancer Centre,372-376 Albert Street EAST MELBOURNE 3002,Other Interest Group Services n.e.c.,144.9787143,-37.80964055
2022,East Melbourne,Dr Mark Troski,"Suite 408-412, Level 4 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Blamey & Saunders Hearing,364 Albert Street EAST MELBOURNE 3002,Professional and Scientific Goods Wholesaling,144.9791101,-37.80957906
2022,East Melbourne,Melbourne Retina Associates,"Suites 401-404, 406-407 Lvl 4 & Suite 515 Lvl 5 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,vacant,"Part Level 2, 340 Albert Street EAST MELBOURNE 3002",Vacant Space,144.979806,-37.80963484
2022,East Melbourne,Robert Yung Ming Chen,"Suite 205, Level 2 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Hearservice,"Part Level 2, 340 Albert Street EAST MELBOURNE 3002",Other Allied Health Services,144.979806,-37.80963484
2022,East Melbourne,Victoria Vein Clinic,"Suite 504, 506-507 & 517 Level 5 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Architectus Limited,250 Victoria Parade EAST MELBOURNE 3002,Architectural Services,144.979887,-37.80918452
2022,East Melbourne,Dr Charles Su,"Suite 219-220, Level 2 100 Victoria Parade EAST MELBOURNE VIC 3002",Specialist Medical Services,144.9748791,-37.80863332
2016,East Melbourne,Pagemasters,250 Victoria Parade EAST MELBOURNE 3002,Printing,144.979887,-37.80918452
2022,East Melbourne,Irene Haas & Associates,"Suite 215, Level 2 100 Victoria Parade EAST MELBOURNE VIC 3002",Other Allied Health Services,144.9748791,-37.80863332
